DATASET_BOXPLOT
SEPARATOR COMMA
COLOR,#ff0000
DATASET_LABEL,boxplot
DATA
7,5,3,9,2,197,223,269,276
1,7,4,4,0,126,156,217,265
7,5,4,8,18,43,62,209,247
1,4,1,8,48,113,152,209,249
5,3,0,9,15,99,111,167,189
2,9,3,5,9,97,165,167,209
1,3,0,4,31,60,169,225,271
2,7,4,9,50,52,161,181,183
2,3,7,15,76,97,105,133
1,2,2,3,43,189,235,269,290
2,3,3,3,3,139,224,225,234
9,1,7,4,68,186,205,256,263
6,8,6,5,57,80,132,261,279
9,6,1,5,16,29,35,43,189
3,6,0,6,30,53,168,255,265
4,0,8,7,19,21,46,155,284
9,4,1,2,101,125,144,184,232
6,5,7,2,32,70,197,205,285
6,8,0,6,124,155,231,252,258
2,1,5,4,77,82,142,228,292
7,1,0,2,23,121,139,172,222
1,9,2,1,48,118,166,197,269
7,5,3,192,252,252,265,268
1,7,0,1,15,20,25,256,291
7,3,9,6,100,152,174,259,294
7,5,7,2,5,122,130,144,146
6,3,0,4,100,130,211,244,296
3,9,8,3,57,58,159,179,284
8,3,7,8,62,68,108,156,170
1,9,9,9,17,25,42,227,234
7,5,5,0,36,89,93,234,279
4,9,4,5,146,154,194,210,260
2,5,2,7,75,90,91,112,139
4,8,7,0,5,75,100,205,253
5,1,0,3,81,92,140,256,285
4,6,8,3,70,182,223,269,279
7,2,9,65,101,191,207,235
9,7,2,3,13,59,168,199,273
9,9,3,4,92,104,152,220,274
5,7,8,4,72,90,239,252,253
6,5,2,9,20,20,112,166,276
8,4,6,3,41,97,121,122,283
2,6,4,7,70,203,247,250,272
7,0,2,1,43,63,96,199,223
2,7,4,7,114,197,201,224,228
8,5,1,8,4,58,207,210,266
7,4,0,9,50,113,138,249,274
6,8,8,0,91,158,254,271,272
7,7,4,8,108,115,142,190,233
5,3,9,101,111,121,156,178
1,9,7,7,4,60,109,220,221
6,3,4,7,151,154,171,228,246
1,7,9,7,48,56,145,205,255
2,0,5,5,4,16,50,81,229
8,0,9,0,21,26,90,163,206
8,0,3,3,7,88,140,162,287
4,7,9,6,14,72,139,190,249
4,4,8,3,56,96,99,152,223
6,3,2,1,47,141,249,272,293
9,1,5,1,24,69,150,192,258
